,RAJ2000,DEJ2000,Use,F24,LIR,zpk,FU,FV,FJ,irAGN,radAGN,xAGN
8152,34.2490082,-5.2277155,1,0.004928,31207300000.0,1.5149,0.174887,0.359262,0.506327,0,,
8160,34.3188744,-5.2259946,1,0.4111,2911950000000.0,1.7426,1.16092,3.64156,16.6566,0,,
8163,34.3741035,-5.227293,1,0.003507,3245610000.0,0.8175,0.793975,1.26982,1.29791,0,,
8165,34.3608093,-5.2271261,1,0.0005635,3757800000.0,1.5513,0.5322,0.942046,1.62355,0,,
8168,34.2875099,-5.2260733,1,0.03876,51217900000.0,0.9832,0.571245,1.34793,3.79976,0,,
8171,34.2330894,-5.2276525,1,0.01692,15388100000.0,0.8085,0.0781035,0.180931,0.255577,0,,
8172,34.3824425,-5.2268739,1,0.00533,3354200000.0,0.6827,0.20632,0.752447,1.65093,0,,
8174,34.2698936,-5.2270775,1,0.004655,2554550000.0,0.6397,0.147277,0.316473,0.461657,0,,
8178,34.2850685,-5.226891,1,0.07678,534847000000.0,1.8004,0.37661,1.91638,8.49254,0,,
8181,34.261734,-5.2279854,1,0.004326,2722380000.0,0.6803,0.107339,0.192988,0.243645,0,,
8183,34.4091949,-5.2260356,1,0.01341,5950700000.0,0.5797,0.893662,1.54842,3.61324,0,,
8185,34.3334198,-5.2271538,1,0.0052,36491900000.0,1.7684,0.629523,0.952677,0.914946,0,,
8187,34.3498306,-5.2273364,1,0.01302,889878000000.0,3.2264,0.461853,0.761124,1.85895,0,,
8190,34.4006615,-5.2274995,1,0.01,2312870000000.0,3.9283,0.177849,0.347181,0.946791,0,,
8191,34.2839127,-5.2270298,1,0.0322,225301000000.0,1.8546,0.37954,0.929106,1.80907,0,,
8192,34.2360268,-5.2272277,1,0.03965,3345760000.0,0.3175,0.347369,0.639399,0.765118,0,,
8193,34.3305321,-5.2237616,1,0.02357,44193200000.0,1.0664,1.8511,10.7573,40.8652,0,,
8194,34.3687706,-5.2262926,1,0.03161,222379000000.0,1.861,1.10879,2.26095,5.10008,0,,
8198,34.2241173,-5.2277513,1,0.001296,158443000.0,0.363,0.0544864,0.101845,0.145863,0,,
8202,34.2422447,-5.2269597,1,0.04168,235025000000.0,1.4436,0.440308,1.75746,4.29779,0,,
8206,34.2509804,-5.2270851,1,0.003163,3656220000.0,0.9291,0.188749,0.327169,0.679511,0,,
8207,34.2712479,-5.2240877,1,0.028,1677480000.0,0.2771,3.3613,7.44466,14.076,0,,
8208,34.4020233,-5.2272806,1,0.002668,1634390000.0,0.6744,0.0671448,0.243489,0.454519,0,,
8209,34.2535248,-5.2275605,1,0.01487,124113000000.0,2.0649,0.1481,0.198292,0.423817,0,,
8210,34.2782478,-5.2265282,1,0.04761,284653000000.0,1.4733,0.924567,2.2967,7.73836,0,,
8212,34.3336182,-5.2275972,1,0.01106,107520000000.0,2.2307,0.164569,0.235703,0.189554,0,,
8214,34.318943,-5.2268162,1,0.006077,3247540000.0,0.6338,0.377601,0.761908,1.2191,0,,
8216,34.252243,-5.2276297,1,0.02045,446454000000.0,2.6715,0.158711,0.220607,0.304925,0,,
8217,34.4004936,-5.2252011,1,0.05379,100855000000.0,1.093,1.81651,8.45743,29.1668,0,,
8221,34.3687592,-5.2267179,1,0.007731,3559640000.0,0.5935,0.557688,0.90776,1.30894,0,,
8226,34.4105644,-5.2273679,1,0.02682,453721000000.0,2.5407,0.206377,0.314951,0.417551,0,,
8227,34.3595695,-5.2274485,1,0.005647,4281130000.0,0.7359,0.0910676,0.178827,0.232435,0,,
8231,34.2476845,-5.2275095,1,0.01485,21532900000.0,1.0055,0.00485664,0.0262289,0.0827019,0,,
8232,34.3298035,-5.2268109,1,0.004026,34158400000.0,2.0921,0.296342,0.387996,0.441245,0,,
